training_id,employee_id,company_id,course_name,course_category,enrollment_date,completion_date,completion_status,score,duration_hours
TR000216,C01-E0312,C01,Prompt Engineering na Pratica,IA Generativa,2026-01-04,,Em Andamento,,2.6
TR000217,C01-E0301,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-11,2025-10-03,Concluido,70.0,2.0
TR000218,C01-E0088,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-03-15,2026-05-01,Concluido,87.0,1.3
TR000219,C01-E0350,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-02-08,,Nao Iniciado,,3.9
TR000220,C01-E0350,C01,Fundamentos de IA Generativa,IA Generativa,2026-05-17,2026-06-09,Concluido,84.0,2.0
TR000221,C01-E0254,C01,Fundamentos de IA Generativa,IA Generativa,2025-12-03,2025-12-09,Concluido,62.0,2.1
TR000222,C01-E0079,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-02-10,2026-02-20,Concluido,72.0,2.3
TR000223,C01-E0079,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-08-27,2025-10-21,Concluido,75.0,1.3
TR000224,C01-E0013,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-06-04,,Em Andamento,,1.5
TR000225,C01-E0013,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-05-19,2026-07-08,Concluido,100.0,1.8
TR000226,C01-E0302,C01,Etica e Governanca de Dados em IA,Governanca,2026-03-01,2026-03-05,Concluido,61.0,2.2
TR000227,C01-E0302,C01,Fundamentos de IA Generativa,IA Generativa,2025-12-02,,Abandonado,,2.0
TR000228,C01-E0289,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-07-03,2026-08-10,Concluido,73.0,2.3
TR000229,C01-E0213,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-17,2026-01-05,Concluido,90.0,2.4
TR000230,C01-E0213,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-06-04,2026-07-09,Concluido,79.0,2.0
TR000231,C01-E0280,C01,Analise de Dados com IA,Dados e Analytics,2026-03-10,2026-04-22,Concluido,87.0,3.9
TR000232,C01-E0189,C01,Etica e Governanca de Dados em IA,Governanca,2026-02-19,,Em Andamento,,2.0
TR000233,C01-E0153,C01,Fundamentos de IA Generativa,IA Generativa,2025-12-16,2025-12-26,Concluido,68.0,2.0
TR000234,C01-E0041,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-01-16,,Nao Iniciado,,2.1
TR000235,C01-E0184,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-07-12,2025-07-25,Concluido,58.0,1.7
TR000236,C01-E0184,C01,Prompt Engineering na Pratica,IA Generativa,2025-08-15,,Em Andamento,,3.0
TR000237,C01-E0150,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-05-07,,Em Andamento,,1.5
TR000238,C01-E0244,C01,Automatizacao de Tarefas com IA,Produtividade,2026-07-10,,Em Andamento,,2.6
TR000239,C01-E0156,C01,Analise de Dados com IA,Dados e Analytics,2025-09-11,,Abandonado,,4.8
TR000240,C01-E0156,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-11-28,2026-01-17,Concluido,76.0,2.4
TR000241,C01-E0156,C01,Etica e Governanca de Dados em IA,Governanca,2025-06-07,,Em Andamento,,1.8
TR000242,C01-E0078,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-06-19,,Em Andamento,,2.0
TR000243,C01-E0078,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-04-10,,Nao Iniciado,,3.7
TR000244,C01-E0238,C01,Prompt Engineering na Pratica,IA Generativa,2026-05-25,2026-06-13,Concluido,83.0,3.4
TR000245,C01-E0238,C01,Analise de Dados com IA,Dados e Analytics,2026-02-06,2026-03-26,Concluido,81.0,3.4
TR000246,C01-E0238,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-04-27,2026-05-20,Concluido,73.0,1.5
TR000247,C01-E0193,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-09-07,,Em Andamento,,1.6
TR000248,C01-E0193,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-07-02,,Em Andamento,,1.8
TR000249,C01-E0241,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-06-07,,Nao Iniciado,,2.0
TR000250,C01-E0230,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-10-08,2025-11-18,Concluido,87.0,1.4
TR000251,C01-E0009,C01,Fundamentos de IA Generativa,IA Generativa,2026-02-16,2026-02-19,Concluido,74.0,1.9
TR000252,C01-E0196,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-08,2025-09-18,Concluido,90.0,1.8
TR000253,C01-E0196,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-05-25,,Abandonado,,1.7
TR000254,C01-E0111,C01,Automatizacao de Tarefas com IA,Produtividade,2025-09-20,,Nao Iniciado,,2.9
TR000255,C01-E0187,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-10-25,2025-11-30,Concluido,67.0,3.6
TR000256,C01-E0187,C01,Etica e Governanca de Dados em IA,Governanca,2026-07-07,,Em Andamento,,2.0
TR000257,C01-E0003,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-07-26,,Nao Iniciado,,1.8
TR000258,C01-E0003,C01,Fundamentos de IA Generativa,IA Generativa,2026-05-12,,Abandonado,,2.3
TR000259,C01-E0353,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-12-31,2026-01-14,Concluido,92.0,1.5
TR000260,C01-E0119,C01,Etica e Governanca de Dados em IA,Governanca,2025-06-27,2025-07-22,Concluido,90.0,2.2
TR000261,C01-E0119,C01,Analise de Dados com IA,Dados e Analytics,2026-01-06,2026-02-13,Concluido,62.0,4.8
TR000262,C01-E0338,C01,Analise de Dados com IA,Dados e Analytics,2026-02-09,,Nao Iniciado,,4.7
TR000263,C01-E0160,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-08-11,,Em Andamento,,2.4
TR000264,C01-E0131,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-13,2026-08-09,Concluido,61.0,1.7
TR000265,C01-E0131,C01,Analise de Dados com IA,Dados e Analytics,2026-03-17,2026-05-07,Concluido,71.0,4.3
TR000266,C01-E0358,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-04-23,,Em Andamento,,0.9
TR000267,C01-E0132,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-01,,Abandonado,,2.2
TR000268,C01-E0132,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-10-26,,Abandonado,,1.1
TR000269,C01-E0058,C01,Analise de Dados com IA,Dados e Analytics,2025-08-19,2025-09-23,Concluido,84.0,4.7
TR000270,C01-E0337,C01,Fundamentos de IA Generativa,IA Generativa,2025-10-30,2025-11-07,Concluido,100.0,2.2
TR000271,C01-E0270,C01,Prompt Engineering na Pratica,IA Generativa,2025-06-21,2025-08-04,Concluido,71.0,2.8
TR000272,C01-E0130,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-04-25,2026-05-24,Concluido,66.0,3.6
TR000273,C01-E0175,C01,Fundamentos de IA Generativa,IA Generativa,2025-09-30,2025-10-21,Concluido,57.0,2.1
TR000274,C01-E0170,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-05-22,2026-06-06,Concluido,76.0,2.4
TR000275,C01-E0242,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-08-02,2025-09-11,Concluido,60.0,1.8
TR000276,C01-E0242,C01,Etica e Governanca de Dados em IA,Governanca,2026-05-13,2026-06-11,Concluido,71.0,1.8
TR000277,C01-E0242,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-04-26,2026-06-18,Concluido,87.0,1.5
TR000278,C01-E0218,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-10-30,2025-11-17,Concluido,76.0,1.3
TR000279,C01-E0185,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-01-11,,Abandonado,,2.3
TR000280,C01-E0185,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-08-08,,Em Andamento,,4.7
TR000281,C01-E0185,C01,Automatizacao de Tarefas com IA,Produtividade,2025-08-31,2025-09-05,Concluido,90.0,2.4
TR000282,C01-E0080,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-07-08,,Em Andamento,,3.6
TR000283,C01-E0099,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-04-16,,Em Andamento,,1.4
TR000284,C01-E0250,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-07,2026-07-08,Concluido,100.0,1.6
TR000285,C01-E0226,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-02,,Em Andamento,,2.9
TR000286,C01-E0226,C01,Automatizacao de Tarefas com IA,Produtividade,2026-01-09,2026-03-10,Concluido,58.0,2.9
TR000287,C01-E0157,C01,Automatizacao de Tarefas com IA,Produtividade,2025-09-13,2025-10-15,Concluido,64.0,2.3
TR000288,C01-E0157,C01,Etica e Governanca de Dados em IA,Governanca,2026-02-28,,Em Andamento,,2.4
TR000289,C01-E0054,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-10-02,,Nao Iniciado,,2.1
TR000290,C01-E0054,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-08-13,,Nao Iniciado,,1.4
TR000291,C01-E0172,C01,Fundamentos de IA Generativa,IA Generativa,2025-06-22,2025-08-15,Concluido,71.0,2.2
TR000292,C01-E0172,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-01-02,,Nao Iniciado,,1.5
TR000293,C01-E0172,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-03-24,,Em Andamento,,1.7
TR000294,C01-E0305,C01,Fundamentos de IA Generativa,IA Generativa,2026-02-04,2026-03-12,Concluido,69.0,2.4
TR000295,C01-E0266,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-01-23,2026-02-17,Concluido,77.0,1.0
TR000296,C01-E0253,C01,Prompt Engineering na Pratica,IA Generativa,2025-09-05,2025-09-21,Concluido,77.0,3.0
TR000297,C01-E0032,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-04-22,2026-05-25,Concluido,67.0,1.7
TR000298,C01-E0174,C01,Etica e Governanca de Dados em IA,Governanca,2026-01-06,2026-01-14,Concluido,76.0,2.1
TR000299,C01-E0359,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-05-19,,Nao Iniciado,,1.4
TR000300,C01-E0359,C01,Analise de Dados com IA,Dados e Analytics,2025-12-17,,Em Andamento,,3.7
TR000301,C01-E0163,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-21,,Em Andamento,,1.6
TR000302,C01-E0163,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-29,,Em Andamento,,2.1
TR000303,C01-E0114,C01,Automatizacao de Tarefas com IA,Produtividade,2026-03-19,2026-05-13,Concluido,74.0,2.9
TR000304,C01-E0186,C01,Analise de Dados com IA,Dados e Analytics,2026-02-27,,Nao Iniciado,,3.8
TR000305,C01-E0186,C01,Fundamentos de IA Generativa,IA Generativa,2025-06-26,,Em Andamento,,2.2
TR000306,C01-E0089,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-02-23,,Abandonado,,1.8
TR000307,C01-E0127,C01,Etica e Governanca de Dados em IA,Governanca,2025-12-18,2025-12-22,Concluido,57.0,2.4
TR000308,C01-E0127,C01,Fundamentos de IA Generativa,IA Generativa,2025-08-12,2025-09-10,Concluido,89.0,2.0
TR000309,C01-E0127,C01,Automatizacao de Tarefas com IA,Produtividade,2026-01-25,2026-02-18,Concluido,71.0,2.6
TR000310,C01-E0065,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-04-11,,Em Andamento,,1.6
TR000311,C01-E0065,C01,Automatizacao de Tarefas com IA,Produtividade,2026-02-14,2026-03-09,Concluido,72.0,2.8
TR000312,C01-E0065,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-11-08,2025-11-18,Concluido,71.0,1.4
TR000313,C01-E0182,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-06-17,2026-07-30,Concluido,76.0,4.2
TR000314,C01-E0002,C01,Etica e Governanca de Dados em IA,Governanca,2025-08-18,2025-09-24,Concluido,89.0,2.4
TR000315,C01-E0002,C01,Automatizacao de Tarefas com IA,Produtividade,2026-05-21,2026-06-28,Concluido,57.0,2.8
TR000316,C01-E0246,C01,Automatizacao de Tarefas com IA,Produtividade,2026-02-15,,Nao Iniciado,,2.1
TR000317,C01-E0293,C01,Analise de Dados com IA,Dados e Analytics,2025-08-19,2025-08-22,Concluido,92.0,4.5
TR000318,C01-E0045,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-06-26,,Nao Iniciado,,2.1
TR000319,C01-E0281,C01,Automatizacao de Tarefas com IA,Produtividade,2026-07-27,,Nao Iniciado,,2.9
TR000320,C01-E0144,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-07-02,2026-07-14,Concluido,67.0,3.8
TR000321,C01-E0144,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-10-18,,Abandonado,,1.7
TR000322,C01-E0144,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-03-20,2026-04-23,Concluido,72.0,1.5
TR000323,C01-E0101,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-01-24,,Em Andamento,,1.6
TR000324,C01-E0219,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-07-09,2025-08-28,Concluido,86.0,1.7
TR000325,C01-E0219,C01,Analise de Dados com IA,Dados e Analytics,2026-07-11,,Abandonado,,4.0
TR000326,C01-E0082,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-12-01,2025-12-04,Concluido,59.0,1.3
TR000327,C01-E0356,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-27,,Em Andamento,,2.3
TR000328,C01-E0208,C01,Analise de Dados com IA,Dados e Analytics,2025-11-12,2025-11-23,Concluido,77.0,3.4
TR000329,C01-E0063,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-10-02,2025-11-17,Concluido,78.0,1.1
TR000330,C01-E0063,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-07-13,,Nao Iniciado,,1.9
TR000331,C01-E0063,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-01-02,,Nao Iniciado,,2.2
TR000332,C01-E0258,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-04-04,,Nao Iniciado,,2.3
TR000333,C01-E0036,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-06-03,2026-06-27,Concluido,85.0,3.9
TR000334,C01-E0036,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-07-28,2025-08-09,Concluido,69.0,1.1
TR000335,C01-E0010,C01,Fundamentos de IA Generativa,IA Generativa,2026-06-13,2026-06-23,Concluido,77.0,2.4
TR000336,C01-E0010,C01,Etica e Governanca de Dados em IA,Governanca,2025-12-06,2026-01-18,Concluido,66.0,1.8
TR000337,C01-E0200,C01,Automatizacao de Tarefas com IA,Produtividade,2025-09-11,2025-10-13,Concluido,62.0,2.4
TR000338,C01-E0145,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-09-29,,Abandonado,,1.5
TR000339,C01-E0084,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-06-30,,Em Andamento,,1.7
TR000340,C01-E0348,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-10-10,,Nao Iniciado,,1.8
TR000341,C01-E0012,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-04-24,2026-06-10,Concluido,70.0,1.0
TR000342,C01-E0012,C01,Analise de Dados com IA,Dados e Analytics,2026-02-11,2026-03-11,Concluido,74.0,4.5
TR000343,C01-E0279,C01,Prompt Engineering na Pratica,IA Generativa,2025-08-08,2025-08-29,Concluido,82.0,3.1
TR000344,C01-E0279,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-07-16,,Em Andamento,,1.7
TR000345,C01-E0115,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-07-08,,Em Andamento,,1.3
TR000346,C01-E0115,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-10-06,2025-12-04,Concluido,92.0,1.1
TR000347,C01-E0115,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-30,,Abandonado,,3.2
TR000348,C01-E0053,C01,Automatizacao de Tarefas com IA,Produtividade,2025-09-28,,Em Andamento,,2.8
TR000349,C01-E0225,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-30,2026-01-06,Concluido,86.0,2.5
TR000350,C01-E0225,C01,Fundamentos de IA Generativa,IA Generativa,2025-07-17,,Abandonado,,2.1
TR000351,C01-E0225,C01,Etica e Governanca de Dados em IA,Governanca,2025-11-28,,Em Andamento,,2.4
TR000352,C01-E0154,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-07-28,,Abandonado,,4.2
TR000353,C01-E0118,C01,Analise de Dados com IA,Dados e Analytics,2025-07-07,,Em Andamento,,3.8
TR000354,C01-E0231,C01,Prompt Engineering na Pratica,IA Generativa,2025-10-19,2025-10-29,Concluido,79.0,3.6
TR000355,C01-E0210,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-02-07,,Em Andamento,,1.8
TR000356,C01-E0210,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-05-10,2026-06-11,Concluido,93.0,1.9
TR000357,C01-E0294,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-07-13,2026-08-10,Concluido,57.0,1.1
TR000358,C01-E0294,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-15,,Em Andamento,,1.7
TR000359,C01-E0137,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-07-12,2025-09-09,Concluido,100.0,1.8
TR000360,C01-E0100,C01,Analise de Dados com IA,Dados e Analytics,2026-07-28,2026-08-10,Concluido,56.0,4.8
TR000361,C01-E0224,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-08-28,,Nao Iniciado,,2.2
TR000362,C01-E0031,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-09-21,,Abandonado,,0.9
TR000363,C01-E0031,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-02-07,2026-03-15,Concluido,67.0,1.6
TR000364,C01-E0031,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-03-26,2026-04-12,Concluido,85.0,3.4
TR000365,C01-E0048,C01,Fundamentos de IA Generativa,IA Generativa,2025-09-15,2025-09-29,Concluido,90.0,1.7
TR000366,C01-E0023,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-05-21,2026-07-15,Concluido,87.0,2.2
TR000367,C01-E0074,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-07-06,,Em Andamento,,1.2
TR000368,C01-E0223,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-08-04,,Nao Iniciado,,2.4
TR000369,C01-E0257,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-01-15,2026-01-21,Concluido,60.0,2.3
TR000370,C01-E0324,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-03-08,2026-04-28,Concluido,89.0,2.0
TR000371,C01-E0209,C01,Etica e Governanca de Dados em IA,Governanca,2026-03-08,2026-04-27,Concluido,91.0,2.3
TR000372,C01-E0209,C01,Analise de Dados com IA,Dados e Analytics,2025-06-28,2025-08-11,Concluido,86.0,4.2
TR000373,C02-E0050,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-01-27,,Em Andamento,,1.4
TR000374,C02-E0059,C02,IA para Times Comerciais,Aplicacoes de Negocio,2025-09-01,2025-10-13,Concluido,95.0,1.4
TR000375,C02-E0013,C02,Prompt Engineering na Pratica,IA Generativa,2026-03-16,2026-05-09,Concluido,77.0,3.4
TR000376,C02-E0014,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-05-12,2026-05-25,Concluido,80.0,1.6
TR000377,C02-E0024,C02,Analise de Dados com IA,Dados e Analytics,2025-08-24,2025-10-17,Concluido,55.0,3.7
TR000378,C02-E0045,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-01-17,2026-03-09,Concluido,84.0,1.3
TR000379,C02-E0022,C02,Prompt Engineering na Pratica,IA Generativa,2025-07-10,2025-07-14,Concluido,63.0,2.7
TR000380,C02-E0022,C02,Etica e Governanca de Dados em IA,Governanca,2025-12-31,2026-02-24,Concluido,98.0,2.0
TR000381,C02-E0076,C02,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-03-28,,Em Andamento,,1.7
TR000382,C02-E0117,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2025-07-12,2025-08-25,Concluido,90.0,1.3
TR000383,C02-E0090,C02,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-11-01,2025-11-19,Concluido,94.0,1.7
TR000384,C02-E0036,C02,Automatizacao de Tarefas com IA,Produtividade,2026-02-24,2026-03-31,Concluido,64.0,2.8
TR000385,C02-E0036,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-01-02,2026-01-26,Concluido,95.0,4.7
TR000386,C02-E0070,C02,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-01,2025-10-17,Concluido,63.0,2.0
TR000387,C02-E0070,C02,Etica e Governanca de Dados em IA,Governanca,2026-05-21,,Nao Iniciado,,1.7
TR000388,C02-E0102,C02,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-04-25,2026-06-23,Concluido,60.0,2.2
TR000389,C02-E0102,C02,Automatizacao de Tarefas com IA,Produtividade,2026-02-26,,Nao Iniciado,,2.6
TR000390,C02-E0061,C02,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-05-23,2026-07-17,Concluido,57.0,1.0
TR000391,C02-E0039,C02,Etica e Governanca de Dados em IA,Governanca,2025-07-29,2025-08-25,Concluido,93.0,2.2
TR000392,C02-E0039,C02,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-10-29,2025-11-01,Concluido,95.0,2.0
TR000393,C02-E0029,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-01-22,2026-02-06,Concluido,78.0,1.5
TR000394,C02-E0054,C02,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-08,2026-07-17,Concluido,76.0,1.8
TR000395,C02-E0054,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-06-11,,Nao Iniciado,,3.8
TR000396,C02-E0054,C02,Automatizacao de Tarefas com IA,Produtividade,2026-03-31,,Nao Iniciado,,2.1
TR000397,C02-E0073,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-02-01,,Abandonado,,4.2
TR000398,C02-E0055,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-05-15,2026-06-28,Concluido,100.0,4.0
TR000399,C02-E0083,C02,IA para Times Comerciais,Aplicacoes de Negocio,2025-10-11,,Em Andamento,,1.5
TR000400,C02-E0083,C02,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-05-31,2026-07-02,Concluido,91.0,1.6
TR000401,C02-E0069,C02,IA para Times Comerciais,Aplicacoes de Negocio,2026-03-26,,Abandonado,,1.5
TR000402,C02-E0069,C02,Etica e Governanca de Dados em IA,Governanca,2025-12-25,2026-01-13,Concluido,74.0,1.7
TR000403,C02-E0035,C02,Etica e Governanca de Dados em IA,Governanca,2026-05-14,2026-05-26,Concluido,93.0,1.7
TR000404,C02-E0035,C02,Analise de Dados com IA,Dados e Analytics,2026-03-04,2026-03-18,Concluido,76.0,4.4
TR000405,C02-E0079,C02,Analise de Dados com IA,Dados e Analytics,2026-06-04,2026-06-30,Concluido,94.0,3.5
TR000406,C02-E0021,C02,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-09-15,,Abandonado,,1.3
TR000407,C02-E0081,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-12-15,2025-12-19,Concluido,59.0,3.5
TR000408,C02-E0116,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-06-11,,Abandonado,,1.7
TR000409,C02-E0116,C02,IA para Times Comerciais,Aplicacoes de Negocio,2025-08-09,2025-09-29,Concluido,95.0,1.3
TR000410,C02-E0116,C02,Automatizacao de Tarefas com IA,Produtividade,2025-07-22,,Nao Iniciado,,2.2
TR000411,C02-E0085,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-04-29,,Nao Iniciado,,1.5
TR000412,C02-E0015,C02,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-11-02,2025-11-17,Concluido,57.0,4.3
TR000413,C02-E0015,C02,Prompt Engineering na Pratica,IA Generativa,2025-08-17,,Nao Iniciado,,2.8
TR000414,C02-E0004,C02,Analise de Dados com IA,Dados e Analytics,2026-07-24,2026-08-10,Concluido,68.0,4.6
TR000415,C02-E0088,C02,Fundamentos de IA Generativa,IA Generativa,2026-06-23,2026-08-07,Concluido,72.0,2.1
TR000416,C02-E0107,C02,Etica e Governanca de Dados em IA,Governanca,2025-12-27,,Nao Iniciado,,2.3
TR000417,C02-E0107,C02,Automatizacao de Tarefas com IA,Produtividade,2026-03-08,,Em Andamento,,2.9
TR000418,C02-E0103,C02,Analise de Dados com IA,Dados e Analytics,2025-09-11,2025-10-25,Concluido,62.0,4.5
TR000419,C02-E0103,C02,Automatizacao de Tarefas com IA,Produtividade,2026-07-14,2026-07-24,Concluido,82.0,3.0
TR000420,C02-E0077,C02,IA para Times Comerciais,Aplicacoes de Negocio,2026-06-30,2026-08-10,Concluido,66.0,1.5
TR000421,C02-E0043,C02,Analise de Dados com IA,Dados e Analytics,2025-06-26,2025-07-26,Concluido,57.0,3.9
TR000422,C02-E0120,C02,Fundamentos de IA Generativa,IA Generativa,2026-07-03,,Nao Iniciado,,1.9
TR000423,C02-E0120,C02,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-03-26,2026-04-22,Concluido,62.0,1.1
TR000424,C02-E0120,C02,Etica e Governanca de Dados em IA,Governanca,2026-05-20,2026-07-10,Concluido,91.0,2.0
TR000425,C02-E0114,C02,IA Responsavel: Vieses e Limitacoes,Governanca,2026-06-14,,Abandonado,,1.7
TR000426,C02-E0114,C02,IA para Times Comerciais,Aplicacoes de Negocio,2026-02-12,,Abandonado,,1.6
TR000427,C02-E0114,C02,Automatizacao de Tarefas com IA,Produtividade,2025-08-25,2025-09-05,Concluido,58.0,2.3
TR000428,C02-E0104,C02,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-01-17,,Em Andamento,,2.0
TR000429,C02-E0110,C02,Analise de Dados com IA,Dados e Analytics,2025-09-09,2025-10-03,Concluido,91.0,4.3
TR000430,C02-E0067,C02,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-07-05,2025-07-24,Concluido,85.0,2.3
TR000431,C02-E0002,C02,Fundamentos de IA Generativa,IA Generativa,2026-06-23,2026-08-10,Concluido,90.0,1.7
TR000432,C02-E0002,C02,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-07-13,,Nao Iniciado,,1.7
TR000433,C02-E0005,C02,Prompt Engineering na Pratica,IA Generativa,2025-06-27,2025-07-17,Concluido,66.0,3.5
